paper,pillar,arrow,test,quantity,geometry,value,target,status,interpretation
Paper 16,spectral geometry,L_N -> Delta_g,Circle spectrum,mean relative spectral error,Circle,0.0050723694954168,small,positive,Entanglement Laplacian reconstructs low spectrum of Laplace-Beltrami operator.
Paper 16,spectral geometry,L_N -> Delta_g,Circle spectrum,lambda1 scaled,Circle,1.0062118601982126,1.0,positive,First nonzero eigenvalue matches analytic continuum target after scalar normalization.
Paper 16,spectral geometry,L_N -> Delta_g,Flat torus spectrum,mean relative spectral error,Flat torus,0.0266274056742776,small,positive,Entanglement Laplacian reconstructs low spectrum of Laplace-Beltrami operator.
Paper 16,spectral geometry,L_N -> Delta_g,Flat torus spectrum,lambda1 scaled,Flat torus,40.96127009878166,39.47841760435743,positive,First nonzero eigenvalue matches analytic continuum target after scalar normalization.
Paper 17,curvature,kappa_OR -> Ricci,v1 relative OR signal,sphere - flat raw mean kappa,flat_torus2d / sphere,0.0133825317172359,> 0,positive,Ollivier-Ricci curvature carries a calibrated mean Ricci signal.
Paper 17,curvature,kappa_OR -> Ricci,v1 relative OR signal,sphere - flat mean kappa/epsilon,flat_torus2d / sphere,0.1977192906604953,> 0,positive,Ollivier-Ricci curvature carries a calibrated mean Ricci signal.
Paper 17,curvature,kappa_OR -> Ricci,v1 relative OR signal,sphere - flat mean kappa/l^2,flat_torus2d / sphere,0.5570407345991357,> 0,positive,Ollivier-Ricci curvature carries a calibrated mean Ricci signal.
Paper 17,curvature,kappa_OR -> Ricci,v2 affine calibration,B_N flat baseline for kappa/epsilon,flat_torus2d / sphere,-0.3012812451027847,finite-N bias,identified,Ollivier-Ricci curvature carries a calibrated mean Ricci signal.
Paper 17,curvature,kappa_OR -> Ricci,v2 affine calibration,sphere-flat delta for kappa/epsilon,flat_torus2d / sphere,0.3919332514442969,> 0,positive,Ollivier-Ricci curvature carries a calibrated mean Ricci signal.
Paper 17,curvature,kappa_OR -> Ricci,v2 affine calibration,A_N epsilon calibration,flat_torus2d / sphere,2.551454862058632,1/delta,identified,Ollivier-Ricci curvature carries a calibrated mean Ricci signal.
Paper 18,source modular first law,delta W_loc -> delta S_A ~= delta<K_A>,v1 graph modular first law,slope deltaS vs delta<K>,flat_torus2d,0.9894809731564348,1,positive,Graph modular first law is numerically validated.
Paper 18,source modular first law,delta W_loc -> delta S_A ~= delta<K_A>,v1 graph modular first law,R2 deltaS vs delta<K>,flat_torus2d,0.996589633081355,near 1,positive,Graph modular first law is numerically validated.
Paper 18,source modular first law,delta W_loc -> delta S_A ~= delta<K_A>,v1 graph modular first law,slope deltaS vs delta<K>,sphere,0.9897180478054184,1,positive,Graph modular first law is numerically validated.
Paper 18,source modular first law,delta W_loc -> delta S_A ~= delta<K_A>,v1 graph modular first law,R2 deltaS vs delta<K>,sphere,0.9965920885884546,near 1,positive,Graph modular first law is numerically validated.
Paper 18,source to curvature,delta<K_A> -> delta kappa(r),v2 modular source curvature,near/far localization ratio,flat_torus2d,6.293006993683725,> 1,positive,Modular response predicts localized curvature response.
Paper 18,source to curvature,delta<K_A> -> delta kappa(r),v2 modular source curvature,R2 |deltaK| -> near |delta kappa|,flat_torus2d,0.9672286463885402,near 1,positive,Modular response predicts localized curvature response.
Paper 18,source to curvature,delta<K_A> -> delta kappa(r),v2 modular source curvature,signed Pearson deltaK -> near delta kappa,flat_torus2d,-0.9991677780406446,|Pearson| near 1,positive,Modular response predicts localized curvature response.
Paper 18,source to curvature,delta<K_A> -> delta kappa(r),v2 modular source curvature,near/far localization ratio,sphere,9.533529186495956,> 1,positive,Modular response predicts localized curvature response.
Paper 18,source to curvature,delta<K_A> -> delta kappa(r),v2 modular source curvature,R2 |deltaK| -> near |delta kappa|,sphere,0.9822520452609136,near 1,positive,Modular response predicts localized curvature response.
Paper 18,source to curvature,delta<K_A> -> delta kappa(r),v2 modular source curvature,signed Pearson deltaK -> near delta kappa,sphere,-0.9994284733487696,|Pearson| near 1,positive,Modular response predicts localized curvature response.
